,_del_t,_dir_mu,_dir_sigma,_len_mu_norm,_len_sigma_norm,_significance
2015-09-16 07:14:22.390,3.94,-96.5852458692,13.6580567,1.44478016093,0.35263844553,0.661396953147
2015-09-16 07:14:26.330,6.11,-90.0105591674,15.5182630479,1.32260143074,0.232516743743,0.883872799546
2015-09-16 07:14:32.440,3.94,-95.3535063466,13.1029729752,1.27297161799,0.350323153026,0.662170087977
2015-09-16 07:14:36.380,4.02,-89.6033027213,12.320964224,1.4918864663,0.382610844142,0.716121137963
2015-09-16 07:14:40.400,3.94,-91.9327746215,24.8693019024,1.1171206605,0.34504454148,0.465393047291
2015-09-16 07:14:44.340,4.02,-92.9940871382,19.9500375799,1.40270451408,0.315628182236,0.730561726436
2015-09-16 07:14:48.360,4.02,-92.0062431203,16.434657649,1.09636012594,0.325197604165,0.566729323308
2015-09-16 07:14:52.380,3.94,-92.1682736585,10.0208647412,1.23915720712,0.279707321661,0.414223331254
2015-09-16 07:14:56.320,4.02,-100.81823591,21.4506575824,1.16997891991,0.359174416433,0.445840813884
2015-09-16 07:15:00.340,4.02,-92.5964811119,10.0696870386,1.27797114908,0.329730759806,0.429166666667
2015-09-16 07:15:04.360,4.02,-92.8883367832,13.2415056216,1.14282802563,0.353042877729,0.483707025411
2015-09-16 07:15:08.380,5.95,-89.0674999771,12.1780395892,1.23786044722,0.200900230087,0.761804511278
2015-09-16 07:15:14.330,4.02,-89.9896091436,22.4491307731,1.34541264814,0.372697553824,0.670437175176
2015-09-16 07:15:18.350,4.03,-89.9369001033,17.5442404992,1.14096518486,0.339828117314,0.522672309553
2015-09-16 07:15:22.380,4.02,-91.4757555665,18.2415917326,1.35131285558,0.396358314438,0.353510895884
2015-09-16 07:15:26.400,3.93,-79.0852132608,17.892843331,1.34830778185,0.43116908037,0.354278874925
2015-09-16 07:15:30.330,4.03,-92.5000005408,12.2296318569,1.36728558883,0.372991047189,0.573255813953
2015-09-16 07:15:34.360,4.02,-92.2825655127,18.2449446895,1.19732481923,0.33397911793,0.727489564699
2015-09-16 07:15:38.380,4.02,-92.7474859803,11.7798016258,1.43444300884,0.414479016072,0.498920086393
2015-09-16 07:15:42.400,3.94,-90.2633374227,13.9631543405,1.43484778816,0.371430670549,0.391252955083
2015-09-16 07:15:46.340,4.02,-94.0383085777,10.951028204,1.34849192491,0.366638104121,0.36636283446
2015-09-16 07:15:50.360,5.61,-87.2590169746,12.3173641425,1.31495096679,0.273267406831,0.756339259691
