,_dir_mu,_dir_sigma,_len_mu_norm,_len_sigma_norm,_del_t,_pyrlevel,_significance,_fit_success
2015-09-16 07:17:19.580,-52.6627008811,25.56381826,1.05640364998,0.217583163464,3.94,1,0.601933701657,1
2015-09-16 07:17:23.520,-48.4046604227,14.4068367234,1.04782183194,0.231542245996,3.85,1,0.542541436464,1
2015-09-16 07:17:27.370,-61.884233992,14.8642675382,0.959442834151,0.249140073022,4.11,1,0.51408839779,1
2015-09-16 07:17:31.480,-45.2097861734,23.2151530708,0.819036998913,0.245887767286,4.02,1,0.480662983425,1
2015-09-16 07:17:35.500,-45.8528979077,14.6812522892,0.973159487367,0.208889589494,3.93,1,0.543243990053,1
2015-09-16 07:17:39.430,-47.5169878467,8.53060955775,1.15040539747,0.311228917129,3.94,1,0.526723899197,1
2015-09-16 07:17:43.370,-49.3930282809,15.728517374,0.887618328956,0.257060769342,4.11,1,0.564217610768,1
2015-09-16 07:17:47.480,-52.682860534,13.3446868047,0.875589818568,0.226512618517,4.1,1,0.41108933072,1
2015-09-16 07:17:51.580,-50.4432238711,15.8959250551,0.995964084647,0.250858780426,4.02,1,0.522547914318,1
2015-09-16 07:17:55.600,-50.878749987,9.35000996176,0.904618842919,0.190563467123,6.12,1,0.696961090599,1
2015-09-16 07:18:01.720,-50.9490447104,11.5270010972,1.06967896891,0.326674045594,3.94,1,0.644807205179,1
2015-09-16 07:18:05.660,-56.2326134212,11.5478548286,1.05721393035,0.285101033962,4.02,1,0.529296327446,1
2015-09-16 07:18:09.680,-53.6276341184,10.8101595393,1.02326502845,0.253071386336,3.94,1,0.581667618504,1
2015-09-16 07:18:13.620,-57.1615380518,9.37266592677,1.05094289285,0.297399376648,4.1,1,0.508787346221,1
2015-09-16 07:18:17.720,-55.5976639012,16.987398029,0.997508616671,0.332917144295,4.02,1,0.607465007776,1
2015-09-16 07:18:21.740,-66.4769473902,12.049268549,0.951131015504,0.37181619602,4.02,1,0.553461163471,1
2015-09-16 07:18:25.760,-57.8157471586,13.4943339778,1.0154735717,0.271284686862,3.94,1,0.54168119986,1
2015-09-16 07:18:29.700,-57.4125991279,8.25235847898,0.849324746499,0.250172119849,3.94,1,0.457153365208,1
