,_phi,_phi_err,_velo_eff,_velo_eff_err
2015-09-16 07:17:27.370,3323.87493227,1368.16994367,4.14,0.828
2015-09-16 07:17:31.480,3430.18676546,1383.70956955,4.14,0.828
2015-09-16 07:17:35.500,3389.21881933,1384.10299053,4.14,0.828
2015-09-16 07:17:39.430,3281.4236518,1373.19191228,4.14,0.828
2015-09-16 07:17:43.370,3043.42899025,1331.12918134,4.14,0.828
2015-09-16 07:17:47.480,3289.19385884,1392.65247834,4.14,0.828
2015-09-16 07:17:51.580,3436.96578462,1421.42262143,4.14,0.828
2015-09-16 07:17:55.600,3266.7372182,1395.12965086,4.14,0.828
2015-09-16 07:18:01.720,3409.19270919,1409.31788633,4.14,0.828
2015-09-16 07:18:05.660,3500.97775765,1441.84311535,4.14,0.828
2015-09-16 07:18:09.680,3367.08701585,1437.81778887,4.14,0.828
2015-09-16 07:18:13.620,3412.54240421,1446.97646428,4.14,0.828
2015-09-16 07:18:17.720,3274.12272916,1438.26282762,4.14,0.828
2015-09-16 07:18:21.740,3400.93149501,1455.21774248,4.14,0.828
2015-09-16 07:18:25.760,3263.56185076,1404.36468688,4.14,0.828
2015-09-16 07:18:29.700,3261.82336649,1427.65007676,4.14,0.828
2015-09-16 07:18:33.640,3198.64836787,1416.89004739,4.14,0.828
2015-09-16 07:18:37.490,3065.49086706,1399.75771231,4.14,0.828
2015-09-16 07:18:43.360,3084.93871357,1411.08300343,4.14,0.828
2015-09-16 07:18:47.380,3034.73734806,1411.32260962,4.14,0.828
2015-09-16 07:18:51.400,3062.91496122,1418.66294116,4.14,0.828
2015-09-16 07:18:55.340,2885.69616109,1388.58269395,4.14,0.828
2015-09-16 07:18:59.360,2780.12666792,1355.3399735,4.14,0.828
2015-09-16 07:19:03.380,2666.85130825,1321.32788585,4.14,0.828
2015-09-16 07:19:07.400,2395.29201441,1196.43727839,4.14,0.828
2015-09-16 07:19:11.420,2309.89463473,1160.05962729,4.14,0.828
2015-09-16 07:19:15.360,2309.74858312,1125.96462538,4.14,0.828
2015-09-16 07:19:19.380,2252.2454267,1135.61114505,4.14,0.828
2015-09-16 07:19:24.990,2094.18508164,1122.88598419,4.14,0.828
2015-09-16 07:19:29.350,2243.95862724,1144.58482799,4.14,0.828
2015-09-16 07:19:33.370,2157.40771152,1137.46864762,4.14,0.828
2015-09-16 07:19:37.390,1869.55925109,1016.69114655,4.14,0.828
2015-09-16 07:19:41.410,1893.0535818,1043.04849399,4.14,0.828
2015-09-16 07:19:45.350,1773.28952957,989.5232267,4.14,0.828
